latitude,longitude,name
30.0151970,-103.6597505,fiftymilemex
30.0079973,-103.6497934,fiftymilemex
30.0074974,-103.6458964,fiftymilemex
30.0038976,-103.6429178,fiftymilemex
29.9913982,-103.6419922,fiftymilemex
29.9893983,-103.6400041,fiftymilemex
29.9691994,-103.6277243,fiftymilemex
29.9664995,-103.6268403,fiftymilemex
29.9953980,-103.6236684,fiftymilemex
29.9730992,-103.6224011,fiftymilemex
29.9870985,-103.6203178,fiftymilemex
29.9596999,-103.6191807,fiftymilemex
29.9917982,-103.6182898,fiftymilemex
29.9518003,-103.6049277,fiftymilemex
29.9457007,-103.6028639,fiftymilemex
29.9386010,-103.5953060,fiftymilemex
29.9276016,-103.5931713,fiftymilemex
29.9311014,-103.5929505,fiftymilemex
29.9376011,-103.5917120,fiftymilemex
29.9329013,-103.5907399,fiftymilemex
29.9255017,-103.5902838,fiftymilemex
29.9208020,-103.5888116,fiftymilemex
29.9204020,-103.5837140,fiftymilemex
29.9125024,-103.5797608,fiftymilemex
29.9081027,-103.5782869,fiftymilemex
29.9059028,-103.5776000,fiftymilemex
29.9127024,-103.5770597,fiftymilemex
29.9103025,-103.5761739,fiftymilemex
29.9006030,-103.5708314,fiftymilemex
29.9010030,-103.5671290,fiftymilemex
29.9044028,-103.5658088,fiftymilemex
29.9037029,-103.5631130,fiftymilemex
29.8983032,-103.5614450,fiftymilemex
29.8957033,-103.5580604,fiftymilemex
29.8982032,-103.5542456,fiftymilemex
29.8922035,-103.5536811,fiftymilemex
29.8883037,-103.5512042,fiftymilemex
29.8891037,-103.5478995,fiftymilemex
